tweet,user,location,date
@cta Touhy and Western corner traffic light pole so badly rusted it’s just a matter of time 💨 https://t.co/PvN9jkYwuZ,Gatuvela,Somewhere in time,2019-10-22 13:32:10
"RT @GraceHallinan: Just got screamed at and threatened by a man on the @cta until I got off, terrifying experience but at least now I can a…",hesusjerman,World,2019-10-22 13:25:41
"These are absolutely absurd @cta headways, particularly during rush hour. https://t.co/est3UJJXpX",JohnAmdor,Chicago and Springfield,2019-10-22 13:17:45
@AuroraMoorealis @cta I wonder if this isn’t a fabricated reason to explain away delays — it removes responsibility… https://t.co/4VYJV8hPMb,cta_oh,,2019-10-22 13:16:26
@cta @MzNeauxla IF?! Because she wanted to stand on a platform in this wind?,cta_oh,,2019-10-22 13:12:22
"Dear people who start shoving through to the door on the @CTA before we’ve even pulled into the station, 

Don’t.… https://t.co/RwhGdBFMo8",brittanyvogel,Chicago,2019-10-22 13:11:21
@Diesel1906 @cta Shhhhh. They don’t care and NOTHING wull be done.,cta_oh,,2019-10-22 13:10:08
@cta Milwaukee between elston and Chicago Ave.  This morning right before i posted.  These were the Blue Line Shuttles.,Diesel1906,worldwide.   216 born,2019-10-22 13:00:33
@cta why is the State Street #29 so poorly run. There are longest wait times. I just got off the 35th bus at State… https://t.co/JjhPovO3vZ,marcloveless,Chicago ,2019-10-22 12:59:41
@wearsallblack1 @cta EXACTLY! The @cta is doing nothing at all to fix this. It happens far too often to not warrant any attention.,feentweets,"Chicago, IL",2019-10-22 12:50:32
"@cta So in other words, just a typical day on the CTA.",mpetroshus,,2019-10-22 12:47:47
"Shout out @cta for having the heat on, in the train platform and it's not even Nov 1st. Y'all the real MVP of the city 😊 #cta #Chicago",TruthandSmiles,Somewhere over the rainbow 🌈 ,2019-10-22 12:47:15
@cta Another early evacuation of 6861 (bus 92). Is this a joke?,kleintrpt,"Chicago, IL",2019-10-22 12:47:10
Tip for @cta riders: there is no prize for the person who touches their pass card to the turnstile scanner for the shortest period of time.,BrandonMarchand,Chicago,2019-10-22 12:44:03
RT @cta: [Significant Delays] Red Line trains are standing near Roosevelt due to an unauthorized person on the tracks. Crews working to res…,JucheMane,Chicago,2019-10-22 12:41:17
@wearsallblack1 @cta Nothing at all!!!!,Diesel1906,worldwide.   216 born,2019-10-22 12:40:45
@cta on Milwaukee between Elston and Chicago,Diesel1906,worldwide.   216 born,2019-10-22 12:37:17
@cta constructive criticism. Can you PLEASE work on how the 146 is released in the AM. We’re going 20 minutes witho… https://t.co/1KhkyiRNgl,kaaatttherine,,2019-10-22 12:37:01
Come on @cta this is crazy.  All of these blue line shuttles blocking the heavily traveled bike lanes headed downto… https://t.co/WACosEKEKP,Diesel1906,worldwide.   216 born,2019-10-22 12:36:10
Now you children sleeping @cta where are the parents?? @CTULocal1 @ABC7Chicago @WGNMorningNews @GoodDayChicago… https://t.co/E2f2fmWrQW,busolous,chicago,2019-10-22 12:29:48
@cta Yeah i agree the amount of people jumping on tracks is quite disturbing and you seem to do nothing about it,wearsallblack1,"Chicago, IL",2019-10-22 12:26:12
"@cta Can you please do something about the amount of people getting on the tracks lately?
It’s pretty concerning th… https://t.co/CwSxqFD9BK",AuroraMoorealis,"Chicago, IL",2019-10-22 12:20:10
"RT @cta: [Minor Delays] Red, Purple and Yellow Line trains are running with delays at Howard due to track switching problems.",WGNtraffic,"Chicago, IL",2019-10-22 12:09:32
"@_andrewalan Hey, Penny. We think you meant to tag @cta. ^JTG",NYCTSubway,New York City,2019-10-22 12:01:43
@cta what happened to the 6:57 purple line at Fullerton!? It just jumped to 7:05??? I’ve been here since 6:50,MzNeauxla,Chicago,2019-10-22 11:59:23
RT @cta: [Major Delays] Red Line trains are running w/residual delays following an earlier unauthorized person on the tracks near Roosevelt…,transit_tweets,,2019-10-22 11:26:00
@cta Why don't the Red Line just reroute to elavated track until further notice,jhagan854,chicago,2019-10-22 11:03:55
@cta I'd also like to add the bus that finally showed up at 5:37 was the next scheduled bus...not the 1560. The tra… https://t.co/WsmKin2JpJ,QuatroChan,Chicago,2019-10-22 10:40:07
RT @cta: [Significant Delays] Harlem-bound Green Line trains are running w/residual delays following an earlier delay at Cottage Grove. Ser…,transit_tweets,,2019-10-22 10:32:23
RT @cta: [Significant Delays] Harlem-bound Green Line trains are running w/residual delays following an earlier delay at Cottage Grove. Ser…,rozvaronABC7,Chicago,2019-10-22 10:28:53
RT @cta: [Significant Delays] Harlem-bound Green Line trains are standing at Cottage Grove. Crews working to restore service.,Y100Radio,"Michigan City, IN",2019-10-22 10:17:39
RT @cta: [Normal Service*] The temporary reroute of 79 79th buses near 79th/Kedzie has ended.,transit_tweets,,2019-10-22 10:15:25
"#chicago, @cta, @chicagotribune this could have been ours. For FREE. But all but one of the mayoral candidates oppo… https://t.co/hnz0Roj7a7",Davis_404,Not the Singularity,2019-10-22 09:48:13
RT @cta: [Significant Delays] 95th-bound Red Line trains are standing at Jackson due to police activity. Crews working to restore service.,transit_tweets,,2019-10-22 09:42:59
Was great unveiling our new app for college admissions at #cesunveiled in Amsterdam. @jakebacon7 @cta… https://t.co/jI6l6s2hxQ,gradtrain,,2019-10-22 07:59:07
RT @cta: [Significant Delays] 95th-bound Red Line trains are standing at Jackson due to police activity. Crews working to restore service.,thomasdubrick,"Anderson, In",2019-10-22 06:48:20
RT @cta: [Significant Delays] 95th-bound Red Line trains are running w/residual delays following earlier police activity at Jackson. Servic…,transit_tweets,,2019-10-22 06:45:35
RT @cta: [Significant Delays] 95th-bound Red Line trains are running w/residual delays following earlier police activity at Jackson. Servic…,CTARedLineAlert,"Chicago, IL",2019-10-22 06:35:55
RT @cta: [Significant Delays] 95th-bound Red Line trains are standing at Jackson due to police activity. Crews working to restore service.,CTARedLineAlert,"Chicago, IL",2019-10-22 06:32:54
@terynjrobinson @cta Yes! I am happy that we have a perfect system of all kinds of public transport where you can a… https://t.co/6WfcNdfthu,eurovermeer,"Groningen, Nederland",2019-10-22 05:41:18
"Keep up the fight Grossmont EA!  Just remember 400,000  members of @CTA and @CFTunion and your co-educators in… https://t.co/7ipHwApMSz",KenTrayUESF,,2019-10-22 04:44:27
RT @cta: [Normal Service*] Normal Blue Line service has resumed between Racine and Jackson after the early completion of planned work.,transit_tweets,,2019-10-22 04:11:36
RT @cta: [Normal Service*] Normal Blue Line service has resumed between Racine and Jackson after the early completion of planned work.,CTABlueLn,"Chicago, IL",2019-10-22 04:02:05
RT @cta: [Minor Delays] Forest Park-bound Blue Line trains are standing at Western due to police activity. Crews working to restore service.,itsmetyrinh,"Chicago, IL",2019-10-22 03:45:48
"RT @cta: [Planned Work] Blue Line: Now thru 4am, Boarding Change, Delays Between California and Belmont https://t.co/tJ4JBSEnut",transit_tweets,,2019-10-22 03:10:11
"RT @cta: [Planned Work] Blue Line: Now thru 4am, Boarding Change, Delays Between Racine and Jackson https://t.co/THyM1RS6oh",transit_tweets,,2019-10-22 03:10:09
"RT @cta: [Planned Work] Blue Line: Now thru 4am, Boarding Change, Delays Between Racine and Jackson https://t.co/THyM1RS6oh",CTABlueLn,"Chicago, IL",2019-10-22 03:00:05
"RT @cta: [Planned Work] Blue Line: Now thru 4am, Boarding Change, Delays Between California and Belmont https://t.co/tJ4JBSEnut",CTABlueLn,"Chicago, IL",2019-10-22 03:00:05
RT @cta: [Minor Delays] Forest Park-bound Blue Line trains are standing at Western due to police activity. Crews working to restore service.,transit_tweets,,2019-10-22 02:12:07
RT @cta: [Minor Delays] Forest Park-bound Blue Line trains are standing at Western due to police activity. Crews working to restore service.,huskeeman82,"Chicago, IL",2019-10-22 02:03:42
@cta ...on which branch?,ValleyC4t,"Chicago, IL",2019-10-22 02:03:00
"RT @cta: Blue Line riders, don't forget: Trains to downtown and Forest Park begin bypassing Division on Monday as station improvements cont…",WickerParkBuck,Wicker Park Bucktown Chicago,2019-10-22 01:48:11
obviously @cta don't care about their costumers or there is no sucj a thing as costumer service.,calitocool,Cicero,2019-10-22 01:46:05
@cta  whoever is driving red line 825 is a real rude person.  Can’t believe the CTA employees such rude people,chigibby,,2019-10-22 01:24:45
"@cta the conductor on Brownline 433 tonight is the best. Great announcements, patient on the red-brown line transit… https://t.co/xPoyugvCpI",abbya2918,United States,2019-10-22 01:17:55
"@cta check the camera footage on train pulling into Harlem now

Your best customers just grabbed something from a lady at Central stop",xgolferx,Chicago (Center of the World),2019-10-22 01:09:01
@MartineBeswick @cta Good luck! See you next week,jasonashley83,"Chicago, IL",2019-10-22 00:37:41
"RT @cta: [Minor Delays] Howard-bound Red Line trains are running w/residual delays and congestion. Service is resuming, allow extra time.",thomasdubrick,"Anderson, In",2019-10-22 00:20:48
RT @gorvett: @cta @metrolosangeles @Cubs Glad we didn’t do this @DOM_Frederic,transit_tweets,,2019-10-22 00:15:10
"RT @cta: [Minor Delays] Howard-bound Red Line trains are running w/residual delays and congestion. Service is resuming, allow extra time.",RNovickis,,2019-10-22 00:03:45
"RT @cta: [Minor Delays] Howard-bound Red Line trains are running w/residual delays and congestion. Service is resuming, allow extra time.",transit_tweets,,2019-10-21 23:55:13
I built a directed graph to query @cta routes. Who needs a google maps API when you've got #OpenData! https://t.co/GaeYSXhPF4,LuedaChris,"Chicago, IL",2019-10-21 23:51:11
"@kokosnugz @cta Don't you have to put ""ctabus"" in front of the stop number?",QuatroChan,Chicago,2019-10-21 23:48:07
"Sure, the wait for the .@cta Green Line at 6 p.m. was 20 minutes, but this car also has B.O. stench",EntitledCubsFan,,2019-10-21 23:46:00
"RT @cta: [Minor Delays] Howard-bound Red Line trains are running w/residual delays and congestion. Service is resuming, allow extra time.",CTARedLineAlert,"Chicago, IL",2019-10-21 23:45:19
@cta @Metra take notes on what not to do https://t.co/gJNho7LTMO,nadiaxsmile,Chicago,2019-10-21 23:40:46
@cta why is the red line not moving today?,NathanH83350711,,2019-10-21 23:40:45
@cta Why are yall blasting the heat like it's January?,amy_moreready,"Chicago, IL",2019-10-21 23:36:37
"RT @LaurenVictory: OH CRAP! 

Not to be crass but #IL lawmaker talking to me about feces, feathers &amp; filth fell victim to culprit during ou…",zRixchard,"""I"", ""B"", ""L"", ""A"", ""E"", ""S"".",2019-10-21 23:34:14
@cta Thank you 🥰,St3phMarsh,Chicago,2019-10-21 23:13:48
@cta please turn off the heat it’s so hot on the blue line it’s TOOOOO HOT https://t.co/i772JQacEN,killsee,CHI/SYR,2019-10-21 23:08:20
@jonahshai @cta Egads that’s a stink bug. Whatever you do - do not smash it.,cmykchicago,Chicago,2019-10-21 23:03:59
Strange little bug hitching a ride on the ⁦⁦@cta⁩ blue line this afternoon. https://t.co/k6VySbcohh,jonahshai,"Chicago, IL",2019-10-21 23:00:31
@GraceHallinan @cta Horrible. Glad you got well shot of him.,scienceandbears,"London, England",2019-10-21 22:51:36
"@CtaThoughts When it’s the height of the PM commute, you’ve a 10-min wait for a train, no room to get on, you know… https://t.co/eRswjwY0TH",SilvestriWoman,"Chicago, IL",2019-10-21 22:45:16
@cta is it ok for bus drivers to say “ there’s another bus right behind me” when said bus isn’t due to show up for another 15 minutes?,msiwiec,"Chicago, Illinois",2019-10-21 22:31:28
